Brand,Screen_Size,Ram,Rating,OS_Family_Other,OS_Family_Windows,OS_Family_macOS,Disk_GB,CPU_Vendor,CPU_Family,CPU_Class,CPU_Arch,Price
LincPlus,14.0,128,3.6,False,True,False,128.0,Intel,Celeron,Desktop/Unknown,x86,199.0
Lenovo,15.6,8,4.6,False,True,False,512.0,AMD,Ryzen5,Other,x86,561.96
Dell,15.6,16,4.3,False,True,False,512.0,Intel,i5,Desktop/Unknown,x86,599.99
Alienware,15.6,16,4.5,False,True,False,512.0,Intel,i7,Desktop/Unknown,x86,3589.99
Dell,13.3,16,5.0,False,True,False,512.0,Intel,i5,Desktop/Unknown,x86,601.14
MSI,15.6,8,4.7,False,True,False,512.0,Intel,i5,Desktop/Unknown,x86,801.43
Acer,11.6,4,4.3,False,False,False,512.0,AMD,A-series,Other,x86,130.0
ASUS,17.0,12,4.5,False,True,False,512.0,Intel,i5,Desktop/Unknown,x86,475.99
ASUS,15.6,16,4.7,False,True,False,1024.0,AMD,Ryzen7,Other,x86,1243.94
Acer,15.6,4,4.5,False,True,False,128.0,Intel,i3,Desktop/Unknown,x86,315.0
ASUS,15.6,16,4.3,False,True,False,512.0,AMD,Ryzen7,Other,x86,938.99
MSI,17.3,32,4.5,False,True,False,2048.0,Intel,i7,Desktop/Unknown,x86,1779.99
ASUS,17.3,16,4.3,False,True,False,1024.0,AMD,Ryzen9,Other,x86,2379.0
Acer,11.6,4,4.3,False,False,False,512.0,AMD,A-series,Other,x86,130.0
EXCaliberPC,15.6,32,5.0,False,True,False,1024.0,Intel,i9,Desktop/Unknown,x86,2599.0
Panasonic,14.0,4,3.1,False,True,False,320.0,Intel,i5,Desktop/Unknown,x86,1949.99
Acer,14.0,4,4.4,False,False,False,512.0,Intel,Pentium,Desktop/Unknown,x86,299.0
ASUS,15.6,16,4.4,False,True,False,512.0,AMD,Ryzen7,Other,x86,1093.97
CHUWI,14.0,8,4.1,False,True,False,256.0,Intel,Celeron,Desktop/Unknown,x86,299.0
Alienware,15.6,8,4.1,False,True,False,1000.0,Intel,i5,Desktop/Unknown,x86,779.0
Toughbook,10.1,4,4.2,False,True,False,500.0,Intel,i5,Desktop/Unknown,x86,2950.0
Acer,14.0,16,4.4,False,True,False,512.0,AMD,Ryzen7,Other,x86,729.0
HP Tuners,14.0,8,4.4,False,True,False,128.0,Intel,Celeron,Desktop/Unknown,x86,319.0
Panasonic,13.1,8,2.0,False,True,False,500.0,Unknown,i5,Other,x86,2299.99
HP,15.6,32,4.3,False,True,False,1024.0,Intel,i5,Desktop/Unknown,x86,796.96
Microsoft,13.5,16,5.0,False,True,False,1024.0,Intel,i7,Desktop/Unknown,x86,2322.92
MSI,17.3,64,5.0,False,True,False,2048.0,Intel,i7,Desktop/Unknown,x86,2149.0
HP,15.6,32,4.4,False,True,False,1024.0,Intel,Pentium,Desktop/Unknown,x86,529.0
Microsoft,12.4,4,4.4,False,True,False,64.0,Unknown,i5,Other,x86,278.0
Dell,15.6,8,4.4,False,True,False,256.0,Unknown,i5,Other,x86,379.0
HP,15.6,4,4.4,False,True,False,512.0,Intel,Celeron,Desktop/Unknown,x86,289.99
ASUS,17.3,12,4.3,False,True,False,1024.0,Intel,i5,Desktop/Unknown,x86,499.0
